,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
0,,https://www.yelp.de/search?cflt=bars&find_loc=Berlin,,,,,,,,,,,,,,
1,,https://www.yelp.de/search?cflt=bars&find_loc=Berlin,,,,,,,,,,,,,,
2,,https://www.yelp.de/search?cflt=bars&find_loc=Berlin,,,,,,,,,,,,,,
3,,https://www.yelp.de/search?cflt=bars&find_loc=Berlin,,,,,,,,,,,,,,
4,,https://www.yelp.de/search?cflt=bars&find_loc=Berlin,,,,,,,,,,,,,,
5,,https://www.yelp.de/search?cflt=bars&find_loc=Berlin,,,,,,,,,,,,,,
6,,https://www.yelp.de/search?cflt=bars&find_loc=Berlin,,,,,,,,,,,,,,
7,,https://www.yelp.de/search?cflt=bars&find_loc=Berlin,,,,,,,,,,,,,,
8,Newton Bar,https://www.yelp.de/biz/newton-bar-berlin,3.0,Marie B.,4.0,No,Berlin,5,40,0,,"1 Sternchen Abzug für die hohen Preise, aber für einen besonderen Abend ist es (für  Mitte) eine okaye Wahl.",,0,1,1
9,Newton Bar,https://www.yelp.de/biz/newton-bar-berlin,3.0,Stefan H.,5.0,Yes,"Hürth, Nordrhein-Westfalen",8,2118,1,27.12.2017,,"1 Foto Darf ich jetzt ,nach Jahren, noch eine Rezension schreiben ? Ja, alleine für neu geweckte Erinnerungen. Zufällig wiedergefunden und neu gefreut: Newton Bar. Vor 13 oder 14 Jahren haben wir hier einen Kundenevent gefeiert und wir hatten Spass hoch zehn. Thema: Zigarren. Seit diesem Tag rauche ich hin und wieder einen Zigarillo und alle fünf Jahre mal eine Zigarre. Nun habe ich die Newton Bar auf einem Rundgang durch Berlin wiedergefunden und kann als kölsche Jung nur sagen: War dat ne superjeile Zick damals. Danke.",1,1,2
10,Newton Bar,https://www.yelp.de/biz/newton-bar-berlin,3.0,Henning H.,5.0,No,Berlin,522,310,1,5.10.2017,"Im Sommer ein Traum, draussen auf den Sofas den Leuten zuzuschauen. Dierekt am Gendarmenmarkt den Abend ausklingen lassen. Zu cooler Musik kann man aus dem risigen Sortiment der Cocktails und Drinks auswählen. Diverse Ginsorten stehen auf der Karte und wenn man fragt, gibt es aus viele Erdnüsse zum knabbern dazu... yummy.","Wer dann nicht mehr alleine nachhause findet, hat hier auch beste Chancen eins der raren Berliner Taxis zu ergattern..",5,1,5
11,Newton Bar,https://www.yelp.de/biz/newton-bar-berlin,3.0,Gerd H.,4.0,No,"Hennef (Sieg), Nordrhein-Westfalen",11,220,0,15.5.2018,"Das Personal war schon echt klasse, obwohl es rappelvoll war, haben die uns noch auf wirklich gemütlichen Sesseln nach kurzer Wartezeit einen Platz organisiert.  Die Cocktails waren ok, jetzt nicht Spitzenklasse, aber schon gut und preislich fair.  Es ist keine Cocktailbar nach meinem Geschmack, dafür ist es mir zu groß, zu sehr auf Masse ausgerichtet, die Cocktails mit zu wenig ""Liebe"" hergerichtet. Trotzalledem gibt es unterm Strich nix zu meckern und wir hatten einen entspannten Abend",,1,2,3
12,Newton Bar,https://www.yelp.de/biz/newton-bar-berlin,3.0,Berlin B.,2.0,No,Berlin,8,166,0,21.4.2018," Teuer, aber nicht gut. Benehmen der Gäste eingeschlossen. Kein Knabberzeugs, Service unaufmerksam und gestreßt. Kein detaillierter Kommentar zu den sanitären Anlagen- Gebühr für's WC im Restaurant/Bar? Und für was eigentlich? Sauberkeit war es jedenfalls nicht. Osteuropäisch betrieben. Beim Wechseln versucht mich zu betrügen! Tip: Sowas nur bei Gästen, die betrunken sind- ich war's nicht. Einmal und nie wieder. In gleicher Preisklasse am Potsdamer Platz (zb.) in ""Perfekt"" zu bekommen (Vox Bar, Adlon, ...).  Für 50€ erwarte ich in Berlin eindeutig mehr!",,0,0,0
13,Newton Bar,https://www.yelp.de/biz/newton-bar-berlin,3.0,Nadine B.,4.0,No,Berlin,5,28,0,12.2.2016,Das mag man gut finden oder auch eher weniger gut (wie ich zum Beispiel).  Für einen Cocktail mit Freunden macht amn in der Newton Bar auf jeden Fall nichts falsch. Lecker ist der Chococolada = Pina Coloade mit Schoko Geschmack. Preise sind aber schon happig und das Interior ist auch schon viele Jahre das Gleich = etwas abgenutzt.,,2,0,1
