,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
0,,https://www.yelp.de/search?cflt=bars&find_loc=Kiel%2C+Schleswig-Holstein,,,,,,,,,,,,,,
1,,https://www.yelp.de/search?cflt=bars&find_loc=Kiel%2C+Schleswig-Holstein,,,,,,,,,,,,,,
2,,https://www.yelp.de/search?cflt=bars&find_loc=Kiel%2C+Schleswig-Holstein,,,,,,,,,,,,,,
3,,https://www.yelp.de/search?cflt=bars&find_loc=Kiel%2C+Schleswig-Holstein,,,,,,,,,,,,,,
4,,https://www.yelp.de/search?cflt=bars&find_loc=Kiel%2C+Schleswig-Holstein,,,,,,,,,,,,,,
5,El Sombrero Verde,https://www.yelp.de/biz/el-sombrero-verde-kiel,4.0,Sebastian K.,5.0,No,Berlin,7,48,0,19.7.2018,,,1,0,0
6,El Sombrero Verde,https://www.yelp.de/biz/el-sombrero-verde-kiel,4.0,Torsten M.,4.0,No,"Kiel, Schleswig-Holstein",1,139,2,18.12.2016,"Erster Beitrag Ein sehr schönes kleines mexikanisches Restaurant mit guten vegetarischen und veganen Speisen. Wir hatten 2 x Burrito excelente (Gebratene Weizentortilla, gefüllt mit Chipotle-Salsa, Pulled Jackfruit, Avocado, Süßkartoffeln, Käse*, Quinoa, Limettensaft und Blattsalat), davon 1 x vegan, und 1x Enchiladas poblanas (gefüllt mit Käse*, Sojahack und Lauchzwiebeln, garniert mit Schoko-Chili-Sauce, dazu Limettenreis). Ich kann sagen ""Super lecker"" und ist einen Besuch wert. Wir werden auf jeden Fall wieder hingehen.",@Foto El Sombrero Verde @Foto El Sombrero Verde,0,0,0
7,El Sombrero Verde,https://www.yelp.de/biz/el-sombrero-verde-kiel,4.0,Günnie F.,3.0,No,"Speyer, Rheinland-Pfalz",10,464,0,26.9.2017,,,1,0,0
8,Mango’s,https://www.yelp.de/biz/mangos-kiel,3.0,Torsten M.,5.0,No,"Kiel, Schleswig-Holstein",1,139,0,24.7.2021,,,0,0,0
9,Mango’s,https://www.yelp.de/biz/mangos-kiel,3.0,Thomas H.,5.0,No,"Itzehoe, Schleswig-Holstein",3,41,0,4.7.2020,Guter unauffälliger Service.,,0,0,0
