,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
0,Kiels Fitness Health Wellness,https://www.yelp.de/biz/kiels-fitness-health-wellness-kiel,4.0,Qype User (GreteS…),5.0,No,Hamburg,0,10,3,14.4.2013,,1 14.4.2013 Bin seit über 3 Jahren Mitglied und sehr zufrieden. Hier passt einfach alles. Weiter so!,0,0,0
1,Kiels Fitness Health Wellness,https://www.yelp.de/biz/kiels-fitness-health-wellness-kiel,4.0,Qype User (mycara…),5.0,No,"Kiel, Schleswig-Holstein",1,7,0,24.11.2011,,,0,0,1
2,Kiels Fitness Health Wellness,https://www.yelp.de/biz/kiels-fitness-health-wellness-kiel,4.0,Qype User (karste…),5.0,No,"Kiel, Schleswig-Holstein",0,14,0,25.3.2012,,,0,0,1
3,Kiels Fitness Health Wellness,https://www.yelp.de/biz/kiels-fitness-health-wellness-kiel,4.0,Qype User (meinci…),5.0,No,"Kiel, Schleswig-Holstein",18,236,0,3.4.2009,,,0,0,0
4,Kiels Fitness Health Wellness,https://www.yelp.de/biz/kiels-fitness-health-wellness-kiel,4.0,Qype User (kieler…),2.0,No,"Kiel, Schleswig-Holstein",0,3,0,,,,0,0,0
5,MrsSporty Kiel-,https://www.yelp.de/biz/mrssporty-kiel-kronshagen,,,,,,,,,,,,,,
6,Well-You,https://www.yelp.de/biz/well-you-kiel,,,,,,,,,,,,,,
7,Athletic Fitnessland,https://www.yelp.de/biz/athletic-fitnessland-kiel-2,,,,,,,,,,,,,,
8,MrsSporty Club -Vorstadt,https://www.yelp.de/biz/mrssporty-club-vorstadt-kiel,,,,,,,,,,,,,,
9,Lady Fitness,https://www.yelp.de/biz/lady-fitness-kiel,,,,,,,,,,,,,,
10,FiZ,https://www.yelp.de/biz/fiz-kiel,3.0,Jan B.,5.0,No,"Kiel, Schleswig-Holstein",10,94,0,8.7.2018,"Preislich unschlagbar, super gelegen, nette Leute! Die Ausstattung ist modern und umfangreich.",,0,0,0
