,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
0,Restaurant Kleiner Seehund,https://www.yelp.de/biz/restaurant-kleiner-seehund-kiel,4.0,Markus L.,5.0,No,"Hannover, Niedersachsen",2,15,0,29.5.2015, Interessanter Name für ein Koreanisches Restaurant :-),,0,0,0
1,Kieler Brauerei,https://www.yelp.de/biz/kieler-brauerei-kiel,3.0,Susan D.,4.0,Yes,Hamburg,288,1795,1,30.6.2021,,"1 Foto Die Kieler Brauerei wurde mir von meinem Hotel empfohlen. Tatsächlich waren abends auch immer alle Tische im Außenbereich belegt und ich konnte hier und da im Vorbeigehen auf die Teller schauen weshalb ich mich entschloss am letzten Abend meine Henkersmahlzeit vor Ort einzunehmen. Die Karte liest sich klassisch, Hausmannskost und norddeutsche Gerichte. Ich entschied mich für ein hausgebrautes Kieler Bier das frisch und leicht karamellig schmeckte und bernsteinfarben daher kam. Die Matjesbrotzeit mit Schwarzbrot, Apfel, Zwiebel und Salatbeilage war ausreichend, auch wenn ich mir 2 statt 1 halben Matjes gewünscht hätte. Als Absacker probierte ich eine Kieler Sprotte hinter der sich ein Aquavit verbarg. Angenehmer Service, faire Preise. Alles in allem hab ich hier lediglich 12,00€ inklusive Trinkgeld bezahlt.",3,1,2
2,Restaurant Kleiner Seehund,https://www.yelp.de/biz/restaurant-kleiner-seehund-kiel,4.0,Tobi D.,3.0,No,"Kiel, Schleswig-Holstein",7,15,3,15.2.2017,"Da wir quasi direkt um die Ecke wohnen, haben wir gestern mal dieses unscheinbar wirkende Restaurant aufgesucht. Um 18 Uhr war es bis auf einen Tisch komplett leer. Hingesetzt, Karte bekommen. Das Ambiente ist....nunja. Lichterketten, kalte Fliesen und kitschige Koreanische Musik....es ist kein Ort wo ich länger bleiben muss als nötig. Ich bestelle eine Spezi, Madame ein Wasser. Schnell kamen die Getränke, die Spezi leider mit wenig Kohlensäure und ohne Eis. Dann bestellten wir 2 mal die Brühe aus Rindermarksknoche, einmal die Ente des Hauses mit Gemüse, Reis und Sojasauce und Rinderstreifen mit Gemüse und Reisbandnudeln. Die Brühe kam schnell und heiß,  knackiges Gemüse und sehr guter, pikanter Geschmack. Während meine Begleitung noch ihre Suppe aß, fragte der Kellner und sehr brüchigem Deutsch ob die Hauptgänge schon kommen könnten. Etwas überrumpelt bejahten wir das. Dementsprechend schnell kam der Hauptgang. Meine Ente war knusprig und heiß, das Essen meiner Begleitung leider nur lauwarm. Vermutlich zu früh gemacht,  darum die Frage ob es schnell weiter gehen kann. Da meine Herzensdame leider sehr hungrig und ungeduldig war aß sie dennoch auf. Geschmacklich war das beides ziemlich gut, typisch Deutsch-asiatisch.","Nach dem Essen sofort die Rechnung bestellt, mit EC Karte- geht leider nicht. Also durften wir noch zur Bank laufen.  Fazit: Wer vernünftig und schnell in einer kalten Umgebung für einen vernünftigen Preis essen will, ist hier gut aufgehoben. Ansonsten rate ich eher ab. Das Essen kann die Atmosphäre und den schlechten Service  ( der Kellner war alleine und rannte zwischendurch durch das Restaurant- für mich ein No-Go) einfach nicht kompensieren. Schade",0,0,0
3,Kieler Brauerei,https://www.yelp.de/biz/kieler-brauerei-kiel,3.0,Josephin H.,5.0,No,"Bezirk Pankow, Berlin",0,18,2,9.10.2020,"Wir waren in der Altstadt Kiels unterwegs und gingen zum Essen letztendlich hierher, weil uns die Speisekarte recht sympathisch war. Ich hatte ein Schnitzel Wiener Art mit Pommes (normalerweise mit Bratkartoffeln, aber den Extrawunsch haben sie gern erfüllt), meine Mutter hatte Putensteak mit Gemüse und Schupfnudeln in einer Tomatensauce. Das Essen war sehr lecker. Die Pommes waren selbst gemacht. Der Service war auch sehr gut!",Schnitzel Wiener Art mit Pommes und Krautsalat Putensteak mit Schupfnudeln und Gemüse in Tomatensauce,0,0,0
4,Restaurant Kleiner Seehund,https://www.yelp.de/biz/restaurant-kleiner-seehund-kiel,4.0,Susann N.,3.0,No,"Magdeburg, Sachsen-Anhalt",1,28,1,23.5.2018,,"Essen schmeckt. Bedienung freundlich. Portion reichlich. Hatte mir unter dem Namen eigentlich ein Fischrestaurant vorgestellt, aber wurde auch mit der Alternative nicht enttäuscht. Bis auf die Schnelligkeit der Bedienung. War ein wenig am Verdursten.",0,0,0
5,Restaurant Kleiner Seehund,https://www.yelp.de/biz/restaurant-kleiner-seehund-kiel,4.0,Mike B.,2.0,No,"Ravensberg - Brunswik - Düsternbrook, Kiel, Schleswig-Holstein",0,1,0,,,,0,0,0
6,Kieler Brauerei,https://www.yelp.de/biz/kieler-brauerei-kiel,3.0,Patrick M.,3.0,No,"Köln, Nordrhein-Westfalen",0,26,0,,,,0,0,0
7,Restaurant Kleiner Seehund,https://www.yelp.de/biz/restaurant-kleiner-seehund-kiel,4.0,Christoph D.,5.0,No,"Ehningen, Baden-Württemberg",0,8,0,13.8.2016,,,0,0,0
8,Kieler Brauerei,https://www.yelp.de/biz/kieler-brauerei-kiel,3.0,Carsten G.,4.0,No,"Rehfelde, Brandenburg",7,22,2,10.5.2016,Mitten in der Kieler Innenstadt. Deftiges Essen zu ordentlichen Preisen. Das Personal ist auch bei vollem Laden sehr freundlich und flott. Aber das beste ist das Kieler Bier. Das ist echt lecker.,Deftig und wirklich gut Gewölbe macht es echt gemütlich.,3,0,1
9,Restaurant Kleiner Seehund,https://www.yelp.de/biz/restaurant-kleiner-seehund-kiel,4.0,Annika S.,4.0,No,"Rendsburg, Schleswig-Holstein",2,279,0,14.10.2009," Auch wenn man das bei dem Namen nicht erwarten würde ist es ein koreanisch Restaurant. Das Restaurant ist gemütlich eingerichtet und die Kellnerin begrüßte uns freundlich.  Die Speisekarte ist recht überschaubar und preislich ist es nicht ganz günstig hier.  Ich entschied mich für knusprige Ente mit Kartoffelrösti und Rotkohl, wobei ich den Rotkohl weg lies.  Auf das Essen haben wir gut ne halbe Stunde gewartet und dann kam es endlich ;) Die Ente war sehr lecker und frisch zubereitet. Der Kartoffelrösti dagegen kam leider aus dem TK-Fach :( Die anderen Gerichte waren auch alle sehr reichhaltig und schön angerichtet. Geschmacklich waren diese auch besser als mein Gericht.  Das Restaurant ist einen Besuch wert, denn die Kellnerin ist total lieb und bemüht das es einem hier gefällt, das Essen schmeckt gut und das meiste ist auch frisch zubereitet.",,0,0,0
