,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
0,IRepair,https://www.yelp.de/biz/irepair-lisboa,,,,,,,,,,,,,,
1,Worten Mobile,https://www.yelp.de/biz/worten-mobile-amadora-3,,,,,,,,,,,,,,
2,MobilFIX Telheiras,https://www.yelp.de/biz/mobilfix-telheiras-lisboa-3,,,,,,,,,,,,,,
3,iReparo4you,https://www.yelp.de/biz/ireparo4you-lisboa,,,,,,,,,,,,,,
4,InforKoisas,https://www.yelp.de/biz/inforkoisas-lisboa,,,,,,,,,,,,,,
5,iSolutions.pt,https://www.yelp.de/biz/isolutions-pt-amadora,,,,,,,,,,,,,,
6,Doctor Gadget,https://www.yelp.de/biz/doctor-gadget-lisboa,,,,,,,,,,,,,,
7,Infor-OK - Clínica de Computadores,https://www.yelp.de/biz/infor-ok-cl%C3%ADnica-de-computadores-lisboa-2,,,,,,,,,,,,,,
8,iSolutions.pt,https://www.yelp.de/biz/isolutions-pt-queluz,,,,,,,,,,,,,,
9,Gadget Hub,https://www.yelp.de/biz/gadget-hub-lisboa,,,,,,,,,,,,,,
10,Technolab.pt,https://www.yelp.de/biz/technolab-pt-lisboa,,,,,,,,,,,,,,
11,Loja NOS,https://www.yelp.de/biz/loja-nos-barreiro,,,,,,,,,,,,,,
12,Teczen,https://www.yelp.de/biz/teczen-almada,,,,,,,,,,,,,,
13,iClínica,https://www.yelp.de/biz/icl%C3%ADnica-lisboa,,,,,,,,,,,,,,
14,iSupport,https://www.yelp.de/biz/isupport-lisboa,,,,,,,,,,,,,,
15,Loja NOS,https://www.yelp.de/biz/loja-nos-lisboa-6,,,,,,,,,,,,,,
16,iServices,https://www.yelp.de/biz/iservices-lisboa-2,1.0,,,,,,,,,,,,,
17,Journey by Day,https://www.yelp.de/biz/journey-by-day-lisboa,,April C.,5.0,No,Berlin,11,51,0,10.10.2018,"Exzellenter, superfreundlicher Service. Die Webseite ist zwar nur auf Portugiesisch, Andy spricht aber fließend Englisch. Mein iPhone mit Wasserschaden war innerhalb einer halben Stunde unkompliziert diagnostiziert und repariert, die anfallenden Kosten transparent gehalten und vor allem bezahlbar! (O-Ton eines anderen iPhone Shop, bei dem das Smartphone vorher für eine Woche war: ""Das iPhone ist so kaputt, das können wir nicht mehr retten. Ich hätte da aber ein Angebot für 500 € für ein gebrauchtes iPhone von einem Kollegen, wenn sie ihres zum Ausschlachten hier lassen...""). ---------------------------------------------- I can only recommend this shop. Don t be confused that the website is in Portuguese only, Andy speaks English fluently. I got very fast and competent help, the service is superfriendly and the costs for fixing my water damaged iPhone within 30 minutes was very fair (especially considering that another shop previously stated, after ""fixing"" it for one week, that it could not be saved anymore and that I should buy a private, ""special offer"" for several hundred euros from one of their colleagues instead).",,0,0,0
18,Techno Care,https://www.yelp.de/biz/techno-care-lisboa-3,,,,,,,,,,,,,,
19,FixPoint,https://www.yelp.de/biz/fixpoint-lisboa,,,,,,,,,,,,,,
20,Globaltech,https://www.yelp.de/biz/globaltech-montijo,,,,,,,,,,,,,,
21,iCenter,https://www.yelp.de/biz/icenter-lisboa,,,,,,,,,,,,,,
22,Pc2one Informática,https://www.yelp.de/biz/pc2one-inform%C3%A1tica-queluz,,,,,,,,,,,,,,
23,iRepair Cascais,https://www.yelp.de/biz/irepair-cascais-s%C3%A3o-domingos-de-rana,,,,,,,,,,,,,,
