,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
0,Neoness,https://www.yelp.de/biz/neoness-paris-10,3.0,,,,,,,,,,,,,
1,Gym Louvre,https://www.yelp.de/biz/gym-louvre-paris-2,3.0,,,,,,,,,,,,,
2,Studio Kinétique,https://www.yelp.de/biz/studio-kin%C3%A9tique-paris,5.0,,,,,,,,,,,,,
3,Keep Cool,https://www.yelp.de/biz/keep-cool-paris-2,2.0,,,,,,,,,,,,,
4,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-8,2.0,,,,,,,,,,,,,
5,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-8,2.0,,,,,,,,,,,,,
6,CrossFit Original Addicts,https://www.yelp.de/biz/crossfit-original-addicts-paris,5.0,,,,,,,,,,,,,
7,Topcoach,https://www.yelp.de/biz/topcoach-paris,,,,,,,,,,,,,,
8,Slimtec Concept,https://www.yelp.de/biz/slimtec-concept-asni%C3%A8res-sur-seine,,,,,,,,,,,,,,
9,Lofting,https://www.yelp.de/biz/lofting-boulogne-billancourt-4,,,,,,,,,,,,,,
10,C S P,https://www.yelp.de/biz/c-s-p-paris-2,,,,,,,,,,,,,,
11,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-20,,,,,,,,,,,,,,
12,L’Usine Saint-Lazare,https://www.yelp.de/biz/l-usine-saint-lazare-paris,,,,,,,,,,,,,,
13,Vital’Ligne,https://www.yelp.de/biz/vital-ligne-paris,,,,,,,,,,,,,,
14,Dynamo Cycling,https://www.yelp.de/biz/dynamo-cycling-paris,4.0,,,,,,,,,,,,,
15,Fitness Park,https://www.yelp.de/biz/fitness-park-paris-9,,,,,,,,,,,,,,
16,Access Fitness Club,https://www.yelp.de/biz/access-fitness-club-courbevoie,,,,,,,,,,,,,,
17,Nouvelle Vibe,https://www.yelp.de/biz/nouvelle-vibe-paris,5.0,,,,,,,,,,,,,
18,The Punch Shop,https://www.yelp.de/biz/the-punch-shop-paris,,,,,,,,,,,,,,
19,La Maison Popincourt,https://www.yelp.de/biz/la-maison-popincourt-paris-2,,,,,,,,,,,,,,
20,Amazonia,https://www.yelp.de/biz/amazonia-paris,3.0,,,,,,,,,,,,,
21,Dynamo Cycling,https://www.yelp.de/biz/dynamo-cycling-paris,4.0,,,,,,,,,,,,,
22,Kikentaï,https://www.yelp.de/biz/kikenta%C3%AF-paris-2,4.0,,,,,,,,,,,,,
23,Gym Studio,https://www.yelp.de/biz/gym-studio-paris,4.0,,,,,,,,,,,,,
