,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
0,Point Form’ Plus,https://www.yelp.fr/biz/point-form-plus-paris,4.0,Membre Cityvox (missfa…),4.0,No,Paris,0,5,0,,,,0,0,0
1,Klay Club,https://www.yelp.fr/biz/klay-club-paris,3.0,Membre Qype (mon_ve…),5.0,No,Paris,33,20,1,,Magnifique salle sur trois étages mêlant briques acier et verrière. Matériel de qualité bien entretenu Accueil très chaleureux dès 7 heures du matin. Coach toujours présent et disponible,Piscine lagon dans la cave voutée,0,0,1
2,Dynamo Cycling,https://www.yelp.fr/biz/dynamo-cycling-paris,4.0,Alex M.,5.0,Yes,Paris,203,449,0,," Les locaux sont d'une propreté irréprochable, on vous fournit serviettes, gums, élastiques pour les cheveux, gel douche, shampooing et après shampooing (de la marque cowshed !), coton tiges, eaux micellaires, disque démaquillant et une bouteille d'eau bien fraîche pour votre premier cours ! L'équipe est jeune, souriante, aux petits soins. Le cours du samedi matin avec Clothilde était super, ambiance un peu tamisé, musique à fond. Elle est très dynamique et passe entre les rangées pour voir chaque personne. Elle s'adressait à la salle en tant que ""Dynamo"", ce qui est assez original, je ne m'y attendais pas. Ca peut froler le ridicule parfois mais on reste dans la bonne humeur ""Regardez cette lumière, c'est toi dynamo qui brille"" (en actionnant son briquet).  C'est vraiment intense (surtout pour quelqu'un qui ne fait pas de cardio) mais ça donne vraiment envie de faire du sport plus souvent. ",Les prix sont élevés certes mais la première séance est gratuite et sans engagement. C'est vraiment le bon plan.,1,0,0
3,Klay Club,https://www.yelp.fr/biz/klay-club-paris,3.0,Florent G.,5.0,Yes,Paris,27,248,3,,,"Publié le 08/07/2019 3 photos Le club chic et moderne de Paris. Propreté impeccable, des appareils au top, des coach's et cours parfait. Réservé à une élite vs le prix de 2000e par an. Mais à ce peux c est classe avec piscine dans cave voûtée, Spa jaccuzi et hammam, serviette, produits de douche sublimes. Bref the place to be pour les sportifs aises Date de l'expérience : juillet 2019",0,0,0
4,Dynamo Cycling,https://www.yelp.fr/biz/dynamo-cycling-paris,4.0,Aurélie T.,5.0,Yes,Lyon,345,1614,5,,"Bon, un avis à (très x 150000) chaud sur le Dynamo Cycling, la discipline hyper tendance de la capitale, by la superbe et génialissime Lucile Woodward. Des cours intenses, une armée de profs au top niveau, des locaux juste merveilleux.... Bref, vive le Dynamo!  J'ai tellement aimé ... Je voudrais que ça soit ma salle de sport de toute la vie et avoir Clothilde Chaumet (herself pour le cours que j'ai fait) comme coach tous les jours. Elle est tellement géniale (et siiii parfaite!). Faire un cours de dynamo, c'est un spectacle: on est en rythme, on s'arrête pas, on danse, on fait des pompes... Sur un vélo. Oui, J'AI FAIT DES POMPES SUR UN VÉLO. Ça m'a même pas fait peur (enfin un peu, surtout au début en fait quand Clothilde crie ""ON DESCENDS EN TRIIIIICEEEEPS SUR LE VELOOOO) (????? Sur le velooooo???).  Quand on prend les haltères sur les vélos c'est cool aussi. Et aussi quand on danse sur vélo, quand on gaine et quand on tourne la molette à droite pour avoir de la résistance (c'est marrant, mais on a peu tourné à gauche).  J'ai tellement sué comme un poney que j'ai l'impression à un moment que j'allais n'être que liquéfaction (mais en fait non, mon gras est toujours là :D). Mais bref, ça peut faire peur au début d'avoir les vélos si proches les uns des autres mais non, par ce qu'on ne bouge jamais et tous les mouvements sont bien étudiés pour pas avoir à toucher son voisin. Les chaussures bizarres peuvent aussi vous sembler étranges mais elles se clipsent sur le vélo, et vous maintiennent hyper stable. La musique est ouf, et la luminosité gérée par la coach est top (certains morceaux sont dans le noir, à la lueur de la bougie!).  C'est hyper bien organisé: douches nickel, vestiaires nickel, tout ABSOLUMENT TOUT à disposition sur place (gel douche, shampoing, soin, lait hydratant, coton, coton tige, deo) si bien que j'avais un sac de sport riquiqui :)))).  Tout se passe sur Internet: réservation en ligne, on achète des crédits, et on paie directement avec en ligne. Attention, bien réserver sa place au préalable, vous pouvez même choisir votre vélo.  Alors oui, passé la séance offerte, le cours est à 30€. Oui c'est cher. Mais croyez-moi, je reviendrai occasionnellement me défouler, et avec plaisir !  Dynamooooooooooo !  NB: pour les chaussures, n'hésitez pas à demander la taille au-dessus pour être vraiment à l'aise !",,5,4,4
5,Neoness,https://www.yelp.fr/biz/neoness-paris-17,3.0,Kamillo I.,5.0,Yes,Paris,162,114,7,,"Prem's C'est la 4ème salle Neoness que j'ai visitée et où j'ai pu m'entraîner et c'est de loin la plus belle ! Ouverte récemment, au plein cœur du 2 ème arrondissement, cette salle privilégie de la plus grande surface au sol et du choix le plus large en terme des machines de musculation...de toutes les salles parisiennes !  L'espace lui-même est magnifique, sur 2 niveau, avec une belle idée d'architecture derrière qui séduit dès en rentrant ! Inutile de s'éterniser dessus, car j'ai déjà commenté en détail le concept du Neoness.  Je tiens, en revanche, à souligner que cette salle, en particulier, vaut vraiment le détour et, à dire un petit mot pour les amateurs réguliers de la gym comme ceux du dimanche : vous ne serez pas déçus !  Alors...ne réfléchissez plus et enfilez votre tenue de sport et allez faire brûler tous vos calories indésirées !",,1,0,0
6,Neoness,https://www.yelp.fr/biz/neoness-paris-17,3.0,Sam E.,1.0,No,"Metairie, États-Unis",0,4,0,,"Je me suis donc inscrit dans cette salle car j'ai été attiré par son image malgré les doutes que j'avais ayant remarqué le manque de certains outils d'entraînement ainsi qu'un aménagement maladroit dans la partie poids libre: les bancs tropes proches les uns des autres ou un banc juste au pied d'escalier - J'aurais dû me fier à mon premier instinct quand j'ai vu le menu d'abonnement type cafeteria lors de mon inscription: Pour ceux qui se demandent: un menu d'inscription type cafeteria représente plusieurs options où vous payer vos mensualités pour l'accès mais avez des options que vous pouvez choisir en supplément comme un abonnement casier pour le vestiaire ou €2 la serviette à moins que vous ayez un abonnement serviette.  Ce genre de plan cafeteria semble être courant en France malgré le fait d'être ridicule: il me donne l'impression de m'être abonné dans un endroit qui mendie ou qui ""gratte de la tune"" comme on dit (par exemple: il font même payer les douches 50 centimes car il prétendent, et ils osent le peindre sur leur mur, qu'une grande partie des gens préfèrent ne pas prendre de douche dans une salle alors pourquoi pas faire payer ceux qui le font - je prend très rarement une douche dans une salle de gym mais je trouve leur raisonnement absurde).  D'autre part, cette salle de sport ne contient aucun miroir.  Le concept de la salle, comme expliqué par l'un des employé ainsi qu'écrit sur les murs, est d'éviter que des gens friment.  Cet employé était bien embêté quand je lui dit que les miroir était un élément essentiel d'une salle de gym car ils permettent aux personnes de vérifier que leurs mouvement sont correctes: il était d'accord avec moi mais ne savait s quoi dire d'autre que le fait que ce soit la philosophie de la salle (absurde). Cela m'a fait penser à deux options: soit ceux qui ont élaboré le concept n'ont jamais été dans une vrai salle de gym, soit ils essayaient encore de ""gratter"" en évitant les dépenses de miroir ainsi qu'en prenant encore les gens pour des imbéciles.  La cerise sur le gâteau: quand j'ai amené ma corde à sauter et me suis mis à m'entraîner avec, un des ""entraîneur"" (comme les autres employés, il n'avait pas l'air d'avoir fait dix séances avec des poids dans sa vie) est venu m'indiquer que la corde à sauter était interdite.  Il a ajouter que tout équipement extérieur l'était et que j'avais signer le règlement qui le précisait.  Je lui ai donc répondu que c'était une corde à sauter et non de ""l'équipement"" mais rien à faire: il a insisté.  J'ai préférer continuer mon entraînement car j'était déjà échauffé.  Cependant' j'avais déjà en tête que j'allais annuler mon abonnement mais que j'allais quand même donner  mon argument.  Après mon entraînement, je suis aller voir l'employé à la réception et lui ai demandé comment se fait-il que la salle autorisait les tapis de yoga (équipement de sport) et pas la corde à sauter. Il m'a répondu que c'était lié à un manque d'espace: logique vu qu'il autorisent les gens qui font des exercices de cross-fit en plein milieu de la salle à côté des bancs d'haltères! (Absurde).  Ne vous attendez pas non plus à trouver quelqu'un pour vous conseiller si vous êtes débutant à moins que vous y alliez pendant une fenêtre de 2-3 heure (encore pour une raison bidon).  Le pire c'est qu'il n'y a même pas une fontaine d'eau sur le plateau au cas où vous avez soif et que votre bouteille s'est terminée: inimaginable dans une salle de sport qui se respecte.  En résumé, je ne pense pas avoir été dans une salle de sport qui me donnait moins envie de la visiter, et ce après en avoir visité dans plusieurs pays du monde.  Les règlements en général ne me dérangent jamais quand ils sont fondés ou logiques, mais Neoness prend les gens pour des idiots dans leur approche et à un côté ""cheap"" pire que celui des compagnies aériennes low-cost car l'essentiel nécessaire à l'entraînement n'y ai même pas pris en compte.    Je ne conseillerais à aucune personne sérieuse avec son entraînement ou débutante de s'y inscrire, non seulement pour les raisons ci-dessus, mais aussi car il y a trop de temps d'attente pour accéder à chaque machine vu le nombre surélevé d'adhérents par rapport au nombre de machines ainsi que l'espace étroit entre ces dernières.  Je compte visiter le Centre De La Forme pas très loin dès son ouverture et me désabonner de cet moquerie - heureusement que j'ai pris le plan sans engagement qui force à donner 3 semaines de préavis avant d'annuler!  PS le port de la casquette est interdit car celle-ci peut se coincer dans un machine (absurde)",,5,1,0
7,Dynamo Cycling,https://www.yelp.fr/biz/dynamo-cycling-paris,4.0,Vivienne M.,4.0,No,"Dublin, Irlande",137,116,1,,"Yes, bon delire ! Des cours genre rpm, ride and co j'en ai testés... et plein... La c'est un autre délire ! Le rythme est nettement plus soutenu, il y a des ""coré"" presque! On travaille le haut du corps aussi et les coachs ils te lachent pas! C'est dans le noir, ce qui aide pas mal à se concentrer sur son propre workout. Grosse musique pour accompagner tout ca en plus. Forcément, il y a des profs différents et on a tous plus d'affinités avec une facon ou une autre de gérer le cours. Le mieux donc c'est de tester 2 ou 3 cours et trouver le coach qui nous correspond. N'habitant pas à Paris j'ai pu tester que 2 cours je ne peux donc pas laisser de commentaires sur ""les résultats sur le long terme"" mais vu comment j'ai transpiré. ... ca devrait le faire!!!",On est venues rayonner!,0,0,0
8,Klay Club,https://www.yelp.fr/biz/klay-club-paris,3.0,Bastide R.,1.0,No,"Barbès/Goutte d'Or, Paris",0,3,0,,Bref un club qui se veut cool mais qui impose un prix et un ambiance terribles !!!,,11,4,1
9,Dynamo Cycling,https://www.yelp.fr/biz/dynamo-cycling-paris,4.0,Paola G.,1.0,No,Paris,115,42,0,," Bref, je ne reviendrai jamais et je le déconseille fortement à cause de l'intolérance et le manque de professionnalisme du personnel. C'est dommage car les installations sont géniales mais payer 30€ pour me faire insulter, non merci.",,16,2,0
